id,state,number,sub_unit,work_unit,dev_name,start_time,end_time,voltage_level
1,调度值班执行停电工作票,ZJN-20250320-010,国网浙江杭州供电公司,万松变,"堰松4Q12线,220kV第二套母差保护",2025-04-09 07:00:00,2025-04-09 12:00:00,220kV
2,调度值班执行停电工作票,ZJN-20250326-027,国网浙江杭州供电公司,涌潮变电所,凰涌4417线,2025-04-09 07:00:00,2025-04-11 18:00:00,220kV
3,调度值班执行停电工作票,ZJN-20250320-009,国网浙江杭州供电公司,万松变,"堰松4Q12线,220kV第一套母差保护",2025-04-08 07:00:00,2025-04-08 12:00:00,220kV
4,调度值班执行停电工作票,ZJN-20250325-030,国网浙江温州供电公司,瑞仙变,"220kV第二套母差保护,#2主变",2025-04-07 09:30:00,2025-04-07 18:00:00,220kV
5,调度值班执行停电工作票,ZJN-20250324-058,浙江信息通信分公司,浙江信息通信分公司,"惠明变天明4474线第二套线路保护,惠明变天惠4473线第二套线路保护",2025-04-03 19:00:00,2025-04-03 20:00:00,220kV
6,调度值班执行停电工作票,ZJN-20250324-057,浙江信息通信分公司,浙江信息通信分公司,"洪塘变姚洪4U35线第二套线路保护,洪塘变姚塘4U36线第二套线路保护,洪塘变梅洪2P50线第二套线路保护",2025-04-03 18:00:00,2025-04-03 19:00:00,220kV
7,调度值班执行停电工作票,ZJN-20250325-029,国网浙江温州供电公司,瑞仙变,"220kV第一套母差保护,#2主变",2025-04-03 09:30:00,2025-04-03 18:00:00,220kV
8,调度值班执行停电工作票,ZJN-20250324-050,国网浙江宁波供电公司,鲍家变,鲍家变鲍潘23H2第一套线路保护,2025-04-03 09:00:00,2025-04-03 18:00:00,220kV
9,调度值班执行停电工作票,ZJN-20250327-003,国网浙江宁波供电公司,殿跟变,220kV开关储能电源,2025-04-03 09:00:00,2025-04-03 16:00:00,220kV
10,调度值班执行停电工作票,ZJN-20250326-020,六横厂,六横厂,2号主变,2025-04-03 08:00:00,2025-04-15 20:00:00,500kV
11,调度值班执行停电工作票,ZJN-20250328-019,国网浙江舟山供电公司,昌洲变,"待用2CZⅠ开关,云洲2R40开关,#2主变",2025-04-03 08:00:00,2025-04-03 17:00:00,220kV
12,调度值班执行停电工作票,ZJN-20250327-008,台州厂,台州厂,"220kV联络一线II段开关,220kV联络一线I段开关,220kV联络一线",2025-04-03 07:00:00,2025-04-03 20:00:00,220kV
13,调度值班执行停电工作票,ZJN-20250321-016,乌厂站,乌厂站,乌光614,2025-04-02 18:00:00,2025-04-06 22:00:00,500kV
14,调度值班执行停电工作票,ZJN-20250330-002,莲塘光伏站,莲塘光伏站,莲塘光伏站#1等值机,2025-04-02 17:30:00,2025-04-17 18:00:00,110kV
15,调度值班执行停电工作票,ZJN-20250330-003,莲塘光伏站,莲塘光伏站,"#2储能单元#1PCS,#3储能单元#1PCS,#1储能单元#1PCS",2025-04-02 17:30:00,2025-05-02 18:00:00,110kV
16,调度值班执行停电工作票,ZJN-20250317-021,祥晖站,祥晖站,"#1机组,#2机组,#3机组,#4机组,#5机组,#6机组,#7机组,#8机组,#9机组,#10机组",2025-04-02 17:00:00,2025-04-03 05:00:00,110kV
17,调度值班执行停电工作票,ZJN-20250328-008,龙河光伏站,龙河光伏站,"龙河3503开关,龙河3501开关",2025-04-02 16:30:00,2025-04-10 22:00:00,110kV
18,调度值班执行停电工作票,ZJN-20250324-026,国网浙江宁波供电公司,水云变,"章水4R46线,220kV第二套母差保护装置",2025-04-02 09:00:00,2025-04-02 18:00:00,220kV
19,调度值班执行停电工作票,ZJN-20250324-027,国网浙江宁波供电公司,句章变电所,"章水4R46线,句章变220kVII段母线第二套母差保护",2025-04-02 09:00:00,2025-04-02 18:00:00,220kV
20,调度值班执行停电工作票,ZJN-20250324-049,国网浙江宁波供电公司,河姆变电所,"河翠4P69线,河姆变220kV正副母I段第二套母差保护,河姆变220kV正副母I段第二套母差保护,河翠4P69线",2025-04-02 09:00:00,2025-04-02 18:00:00,220kV
21,调度值班执行停电工作票,ZJN-20250325-028,国网浙江温州供电公司,永强变,"待用2YQII开关,待用2YQIII开关",2025-04-02 09:00:00,2025-04-03 18:00:00,220kV
22,调度值班执行停电工作票,ZJN-20250325-034,国网浙江台州供电公司,三牵变,渚铁2Q43线,2025-04-02 09:00:00,2025-04-03 17:00:00,220kV
23,调度值班执行停电工作票,ZJN-20250325-036,国网浙江台州供电公司,剑山变,"剑山变潭山44B2线第二套线路保护,剑山变潭剑44B1线第二套线路保护",2025-04-02 09:00:00,2025-04-02 17:00:00,220kV
24,调度值班执行停电工作票,ZJN-20250326-007,国网浙江台州供电公司,长潭变电所,"长潭变潭山44B2线第二套线路保护,长潭变潭剑44B1线第二套线路保护",2025-04-02 09:00:00,2025-04-02 17:00:00,220kV
25,调度值班执行停电工作票,ZJN-20250326-024,国网浙江湖州供电公司,扬子变,"扬子变220kV第二套母差保护,扬子变#2主变第二套保护",2025-04-02 09:00:00,2025-04-02 17:00:00,220kV
26,调度值班执行停电工作票,ZJN-20250326-025,国网浙江湖州供电公司,扬子变,"扬子变扬傅23T8线第二套线路保护,扬子变扬太23T7线第二套线路保护,扬子变220kV第二套母差保护",2025-04-02 09:00:00,2025-04-02 17:00:00,220kV
27,调度值班执行停电工作票,ZJN-20250328-003,国网浙江舟山供电公司,蓬莱变,"220kV第二套母差保护,长蓬24X5开关,#3主变220kV开关",2025-04-02 09:00:00,2025-04-02 17:00:00,220kV
28,调度值班执行停电工作票,ZJN-20250325-022,国网浙江衢州供电公司,崇文变,220kV线路故障录波装置,2025-04-02 08:30:00,2025-04-02 18:00:00,220kV
29,调度值班执行停电工作票,ZJN-20250326-026,国网浙江杭州供电公司,戴村变,戴村变戴南23B2线第一套线路保护,2025-04-02 08:30:00,2025-04-02 20:30:00,220kV
30,调度值班执行停电工作票,ZJN-20250328-004,润海风电场,润海风电场,润海风电场H01机,2025-04-02 08:00:00,2025-04-03 18:00:00,220kV
31,调度值班执行停电工作票,ZJN-20250331-004,北仑厂,北仑厂,2号机组,2025-04-02 08:00:00,2025-04-02 16:00:00,500kV
32,调度值班执行停电工作票,ZJN-20250324-032,国网浙江宁波供电公司,天一变电所,"一明线5011开关,天一变500kV Ⅰ段母线第二套母差保护",2025-04-02 08:00:00,2025-04-02 21:00:00,500kV
33,调度值班执行停电工作票,ZJN-20250331-006,国网浙江嘉兴供电公司,翔云变电所,4号主变3号电容器,2025-04-02 07:00:00,2025-04-02 21:00:00,35kV
34,调度值班执行停电工作票,ZJN-20250325-038,祥晖站,祥晖站,#9机组,2025-04-01 18:00:00,2025-04-02 05:00:00,110kV
35,调度值班执行停电工作票,ZJN-20250331-005,万投站,万投站,"万投3502,万投3503,万投3504,万投3505,万投3501",2025-04-01 18:00:00,2025-04-02 05:00:00,110kV
36,调度值班执行停电工作票,ZJN-20250317-013,祥晖站,祥晖站,#2机组,2025-04-01 17:00:00,2025-04-02 05:00:00,110kV
37,调度值班执行停电工作票,ZJN-20250328-017,嘉兴二厂,嘉兴二厂,4号机组,2025-04-01 16:00:00,2025-04-01 22:00:00,500kV
38,调度值班执行停电工作票,ZJN-20250324-047,国网浙江宁波供电公司,翠屏变,"河翠4P69线,翠屏变220kV第二套母差保护",2025-04-01 12:00:00,2025-04-01 18:00:00,220kV
39,调度值班执行停电工作票,ZJN-20250326-017,国网浙江嘉兴供电公司,梧桐变,220kV正母压变,2025-04-01 09:30:00,2025-04-02 17:00:00,220kV
40,调度值班执行停电工作票,ZJN-20250328-034,嘉兴厂,嘉兴厂,#3机组,2025-04-01 09:00:00,2025-04-02 23:30:00,220kV
41,调度值班执行停电工作票,ZJN-20250326-022,国网浙江湖州供电公司,扬子变,"扬子变西扬4U13线第二套线路保护,扬子变西子4U12线第二套线路保护,扬子变220kV第二套母差保护",2025-04-01 09:00:00,2025-04-01 17:00:00,220kV
42,调度值班执行停电工作票,ZJN-20250326-023,国网浙江湖州供电公司,扬子变,"扬子变220kV第二套母差保护,扬子变#1主变第二套保护",2025-04-01 09:00:00,2025-04-01 17:00:00,220kV
43,调度值班执行停电工作票,ZJN-20250328-002,国网浙江舟山供电公司,蓬莱变,"220kV第一套母差保护,长蓬24X5开关,#3主变220kV开关",2025-04-01 09:00:00,2025-04-01 17:00:00,220kV
44,调度值班执行停电工作票,ZJN-20250325-014,乌沙山,乌沙山,4号主变,2025-04-01 08:30:00,2025-05-25 18:00:00,500kV
45,调度值班执行停电工作票,ZJN-20250327-002,嘉兴二厂,嘉兴二厂,8号机组,2025-04-01 08:30:00,2025-04-03 23:30:00,500kV
46,调度值班执行停电工作票,ZJN-20250324-039,新城厂,新城厂,"#2机组,#1机组",2025-04-01 08:00:00,2025-04-25 23:59:00,220kV
47,调度值班执行停电工作票,ZJN-20250324-041,新城厂,新城厂,"#1主变220kV开关,#1主变",2025-04-01 08:00:00,2025-04-25 23:59:00,220kV
48,调度值班执行停电工作票,ZJN-20250325-007,德能厂,德能厂,"#2机组,#3机组,#4机组,德莫2443线,#1机组",2025-04-01 08:00:00,2025-04-10 22:00:00,220kV
49,调度值班执行停电工作票,ZJN-20250325-010,德能厂,德能厂,"#1主变,#2机组,#1机组",2025-04-01 08:00:00,2025-04-20 22:00:00,220kV
50,调度值班执行停电工作票,ZJN-20250325-011,德能厂,德能厂,"#4机组,#3机组",2025-04-01 08:00:00,2025-06-01 22:00:00,220kV
51,调度值班执行停电工作票,ZJN-20250326-009,岱涂光伏站,岱涂光伏站,岱涂光伏站#1等值机,2025-04-01 08:00:00,2025-04-07 18:00:00,110kV
52,调度值班执行停电工作票,ZJN-20250327-032,台塑厂,台塑厂,#3机组,2025-04-01 08:00:00,2025-04-05 14:00:00,220kV
53,调度值班执行停电工作票,ZJN-20250319-014,国网浙江宁波供电公司,线路,"疏南23M4线,疏江23M3线",2025-04-01 08:00:00,2025-04-01 23:00:00,220kV
54,调度值班执行停电工作票,ZJN-20250319-015,国网浙江宁波供电公司,疏港变,"疏南23M4线,疏江23M3线",2025-04-01 08:00:00,2025-04-01 23:00:00,220kV
55,调度值班执行停电工作票,ZJN-20250319-016,国网浙江宁波供电公司,江南变,"220kV副母Ⅱ段,220kV正母,江南变#1主变,江南变#2主变,疏江23M3线,疏南23M4线,220kV副母Ⅰ段",2025-04-01 08:00:00,2025-04-01 23:00:00,220kV
56,调度值班执行停电工作票,ZJN-20250324-018,国网浙江杭州供电公司,线路,涌祝4421线,2025-04-01 07:00:00,2025-04-01 18:00:00,220kV
57,调度值班执行停电工作票,ZJN-20250324-043,国网浙江宁波供电公司,线路,河翠4P69线,2025-04-01 07:00:00,2025-04-11 18:00:00,220kV
58,调度值班执行停电工作票,ZJN-20250324-044,国网浙江宁波供电公司,翠屏变,河翠4P69线,2025-04-01 07:00:00,2025-04-11 18:00:00,220kV
59,调度值班执行停电工作票,ZJN-20250324-045,国网浙江宁波供电公司,河姆变电所,河翠4P69线,2025-04-01 07:00:00,2025-04-11 18:00:00,220kV
60,调度值班执行停电工作票,ZJN-20250325-009,国网浙江杭州供电公司,荷花变,"光荷43C9线,220kV正母线",2025-04-01 07:00:00,2025-04-01 20:30:00,220kV
61,调度值班执行停电工作票,ZJN-20250325-027,国网浙江温州供电公司,永强变,#1主变220kV开关,2025-04-01 07:00:00,2025-04-01 18:00:00,220kV
62,调度值班执行停电工作票,ZJN-20250326-014,国网浙江嘉兴供电公司,王店变电所,5063开关,2025-04-01 07:00:00,2025-04-01 21:00:00,500kV
63,调度值班执行停电工作票,ZJN-20250326-028,国网浙江杭州供电公司,线路,凰涌4417线,2025-04-01 07:00:00,2025-04-20 18:00:00,220kV
64,调度值班执行停电工作票,ZJN-20250327-001,国网浙江杭州供电公司,凤凰变,凰涌4417线,2025-04-01 07:00:00,2025-04-20 20:00:00,220kV
65,调度值班执行停电工作票,ZJN-20250325-017,国网浙江衢州供电公司,线路,旺衢2Q55线,2025-04-01 06:30:00,2025-04-02 19:00:00,220kV
66,调度值班执行停电工作票,ZJN-20250325-012,老镇海厂,老镇海厂,"#12主变,220kV#1母联开关,220kV#2母联开关,220kV副母Ⅰ段,220kV副母Ⅱ段,220kV副母分段开关,220kV正母Ⅰ段,220kV正母Ⅱ段,220kV正母分段开关,镇川2304线,镇塘23M2线,镇湾23M1线,镇蛟2303线,#11主变",2025-04-01 06:00:00,2025-04-01 08:00:00,220kV
67,调度值班执行停电工作票,ZJN-20250324-005,国网浙江绍兴供电公司,古越变电所,"春越线5042开关,春越线5043开关,春越5886线",2025-04-01 06:00:00,2025-04-21 12:00:00,500kV
68,调度值班执行停电工作票,ZJN-20250324-006,国网浙江绍兴供电公司,线路,春越5886线,2025-04-01 06:00:00,2025-04-21 12:00:00,500kV
69,调度值班执行停电工作票,ZJN-20250324-007,国网浙江绍兴供电公司,春晖变电所,"春越5886线,500kV Ⅱ母线",2025-04-01 06:00:00,2025-04-10 21:00:00,500kV
70,调度值班执行停电工作票,ZJN-20250324-009,国网浙江绍兴供电公司,春晖变电所,春越线5022开关,2025-04-01 06:00:00,2025-05-25 12:00:00,500kV
71,调度值班执行停电工作票,ZJN-20250324-028,国网浙江宁波供电公司,线路,"镇塘23M2线,镇湾23M1线,镇蛟2303线,镇川2304线",2025-04-01 06:00:00,2025-04-01 18:00:00,220kV
72,调度值班执行停电工作票,ZJN-20250324-029,国网浙江宁波供电公司,蛟川变,"镇蛟2303线,镇川2304线",2025-04-01 06:00:00,2025-04-01 18:00:00,220kV
73,调度值班执行停电工作票,ZJN-20250324-030,国网浙江宁波供电公司,湾塘变,"镇湾23M1线,镇塘23M2线",2025-04-01 06:00:00,2025-04-01 18:00:00,220kV
74,调度值班执行停电工作票,ZJN-20250319-044,国网浙江湖州供电公司,塘桥变,"220kV正母线,220kV正母压变,220kV母联开关",2025-03-31 07:30:00,2025-04-02 17:00:00,220kV
75,调度值班执行停电工作票,ZJN-20250319-045,国网浙江湖州供电公司,塘桥变,"220kV正母线,#1主变220kV开关",2025-03-31 07:30:00,2025-04-02 17:00:00,220kV
76,调度值班执行停电工作票,ZJN-20250320-062,国网浙江金华供电公司,汤溪变,"220kV副母线,#2主变220kV开关",2025-03-31 07:00:00,2025-04-02 22:00:00,220kV
77,调度值班执行停电工作票,ZJN-20250320-063,国网浙江金华供电公司,汤溪变,"郊汤24C7线开关,汤家24C8线开关,220kV副母线",2025-03-31 07:00:00,2025-04-02 22:00:00,220kV
78,调度值班执行停电工作票,ZJN-20250305-029,乌溪江,乌溪江,湖站#5机组,2025-03-31 06:00:00,2025-04-08 22:00:00,220kV
79,调度值班执行停电工作票,ZJN-20250325-032,柯城厂,柯城厂,"#4机组,#3机组",2025-03-31 06:00:00,2025-04-02 22:00:00,220kV
80,调度值班执行停电工作票,ZJN-20250324-016,国网浙江杭州供电公司,涌潮变电所,乔涌线5021开关,2025-03-31 06:00:00,2025-04-02 21:00:00,500kV
81,调度值班执行停电工作票,ZJN-20250324-056,国网浙江台州供电公司,童燎变,220kV副母压变,2025-03-31 06:00:00,2025-04-03 23:00:00,220kV
82,调度值班执行停电工作票,ZJN-20250321-029,国网浙江舟山供电公司,蓬莱变,"220kV母联开关,长蓬24X5开关,待用2PLⅡ副母闸刀,220kV副母线",2025-03-30 08:30:00,2025-04-03 17:00:00,220kV
83,调度值班执行停电工作票,ZJN-20250321-030,国网浙江舟山供电公司,蓬莱变,"220kV副母线,#3主变220kV开关",2025-03-30 08:30:00,2025-04-03 17:00:00,220kV
84,调度值班执行停电工作票,ZJN-20250321-013,国网浙江温州供电公司,线路,科瀚24W9线,2025-03-30 07:00:00,2025-04-02 20:00:00,220kV
85,调度值班执行停电工作票,ZJN-20250324-037,北仑厂,北仑厂,"北电线/北电线5062开关,北电线5011开关,北电线5012开关,北电线5061开关,北电5447线",2025-03-30 06:00:00,2025-04-12 22:00:00,500kV
86,调度值班执行停电工作票,ZJN-20250324-001,泰瀚光伏站,泰瀚光伏站,"#11机组开关,#12机组开关,#13机组开关,#14机组开关,#15机组开关,#16机组开关,#17机组开关,#18机组开关,#19机组开关,#1储能开关,#1机组开关,#20机组开关,#21机组开关,#22机组开关,#23机组开关,#24机组开关,#2机组开关,#3机组开关,#4机组开关,#5机组开关,#6机组开关,#7机组开关,#8机组开关,#9机组开关,科瀚24W9开关,科瀚24W9线,科瀚24W9线副母线,科瀚24W9线副母线PT,#10机组开关",2025-03-29 18:00:00,2025-04-03 05:00:00,220kV
87,调度值班执行停电工作票,ZJN-20250321-027,国网浙江舟山供电公司,云顶变,"220kV正母线,待用2YDⅢ开关,朗顶2R42开关,朗云2R41开关,云昌2R39开关,云洲2R40开关,正母压变,220kV母联开关",2025-03-29 07:30:00,2025-04-02 17:00:00,220kV
88,调度值班执行停电工作票,ZJN-20250321-028,国网浙江舟山供电公司,云顶变,"220kV正母线,#2主变220kV开关",2025-03-29 07:30:00,2025-04-02 17:00:00,220kV
89,调度值班执行停电工作票,ZJN-20250310-023,国网浙江金华供电公司,线路,汤家24C8线,2025-03-29 07:00:00,2025-04-02 19:00:00,220kV
90,调度值班执行停电工作票,ZJN-20250310-025,国网浙江金华供电公司,线路,郊汤24C7线,2025-03-29 07:00:00,2025-04-02 19:00:00,220kV
91,调度值班执行停电工作票,ZJN-20250320-058,国网浙江金华供电公司,汤溪变,"汤家24C8线开关,郊汤24C7线开关",2025-03-29 07:00:00,2025-04-02 22:00:00,220kV
92,调度值班执行停电工作票,ZJN-20250320-060,国网浙江金华供电公司,汤溪变,#2主变,2025-03-29 07:00:00,2025-04-02 22:00:00,220kV
93,调度值班执行停电工作票,ZJN-20250321-021,涂海风电场,涂海风电场,#1风机,2025-03-29 00:15:00,2025-04-02 21:00:00,220kV
94,调度值班执行停电工作票,ZJN-20250321-022,大涂光伏站,大涂光伏站,"#11机,#12机,#1机,#2机,#3机,#4机,#5机,#6机,#7机,#8机,#9机,#10机",2025-03-29 00:15:00,2025-04-02 18:00:00,220kV
95,调度值班执行停电工作票,ZJN-20250325-008,象海风电场,象海风电场,#1风机,2025-03-29 00:15:00,2025-04-02 23:55:00,220kV
96,调度值班执行停电工作票,ZJN-20250328-001,国网浙江温州供电公司,飞云变,瓯云4356线,2025-03-28 18:00:00,2025-04-09 20:00:00,220kV
97,调度值班执行停电工作票,ZJN-20250324-051,亨泰光伏站,亨泰光伏站,"亨泰3502（#2机）开关,亨泰3503（#3机）开关,亨泰3504（#4机）开关,亨泰3505（#5机）开关,亨泰3506（#6机）开关,亨泰3507（#7机）开关,亨泰3508（#8机）开关,亨泰3501（#1机）开关",2025-03-28 08:00:00,2025-04-13 18:00:00,220kV
98,调度值班执行停电工作票,ZJN-20250325-033,乐清厂,乐清厂,1号主变,2025-03-28 08:00:00,2025-05-12 23:45:00,500kV
99,调度值班执行停电工作票,ZJN-20250322-005,国网浙江湖州供电公司,国网浙江湖州供电公司,"二福2U21线,二雀2446线,二祥2U22线,昆福2U26线,昆祥2U25线,燃长2U17线,燃二2U18线,燃傅2U20线,燃太2U19线,二白2447线",2025-03-28 08:00:00,2025-04-15 18:00:00,220kV
100,调度值班执行停电工作票,ZJN-20250319-043,国网浙江湖州供电公司,塘桥变,"#1主变110kV开关,#1主变220kV开关,#1主变35kV开关,#1主变",2025-03-28 07:30:00,2025-04-02 17:00:00,220kV
101,调度值班执行停电工作票,ZJN-20250326-008,龙游厂,龙游厂,#1机组,2025-03-28 07:00:00,2025-03-30 23:59:00,220kV
102,调度值班执行停电工作票,ZJN-20250314-020,国网浙江宁波供电公司,宁海变电所,"宁龙4P50线,宁跃4P49线,220kV正母Ⅰ段",2025-03-28 07:00:00,2025-04-02 18:00:00,220kV
103,调度值班执行停电工作票,ZJN-20250314-021,国网浙江宁波供电公司,线路,雁宁4P54线,2025-03-28 07:00:00,2025-04-02 18:00:00,220kV
104,调度值班执行停电工作票,ZJN-20250314-022,国网浙江宁波供电公司,宁海变电所,"220kV正母Ⅰ段,1号主变220kV开关",2025-03-28 07:00:00,2025-04-02 18:00:00,220kV
105,调度值班执行停电工作票,ZJN-20250314-024,国网浙江宁波供电公司,线路,宁龙4P50线,2025-03-28 07:00:00,2025-04-02 18:00:00,220kV
106,调度值班执行停电工作票,ZJN-20250314-026,国网浙江宁波供电公司,线路,宁跃4P49线,2025-03-28 07:00:00,2025-04-02 18:00:00,220kV
107,调度值班执行停电工作票,ZJN-20250317-047,国网浙江温州供电公司,线路,瓯仙4352线,2025-03-28 07:00:00,2025-04-09 20:00:00,220kV
